trade_id,signal_day
0,43
1,58
2,47
3,83
4,64
5,111
6,133
7,113
8,117
9,146
10,148
11,163
12,201
13,183
14,218
15,226
16,200
17,232
18,223
19,247
20,262
21,237
22,245
23,259
24,263
25,260
26,256
27,261
28,281
29,336
30,305
31,314
32,344
33,343
34,356
35,361
36,376
37,409
38,381
39,393
40,390
41,430
42,428
43,422
44,429
45,424
46,472
47,446
48,482
49,488
50,456
51,478
52,503
53,476
54,509
55,537
56,505
57,543
58,563
59,537
60,558
61,564
62,571
63,585
64,592
65,576
66,596
67,632
68,600
69,640
70,607
71,624
72,629
73,625
74,654
75,654
76,680
77,678
78,694
79,709
80,726
81,736
82,748
83,730
84,725
85,746
86,745
87,743
88,742
89,752
