day,close
0,391.96
1,392.88
2,404.18
3,407.56
4,413.98
5,419.48
6,425.51
7,418.5
8,415.85
9,418.87
10,421.15
11,421.93
12,417.02
13,407.88
14,406.64
15,399.96
16,400.75
17,398.76
18,399.17
19,396.71
20,395.14
21,397.36
22,391.03
23,394.43
24,397.32
25,393.91
26,399.96
27,405.88
28,404.82
29,393.18
30,393.93
31,385.77
32,386.47
33,389.88
34,386.72
35,394.13
36,394.32
37,399.9
38,395.76
39,392.88
40,395.35
41,399.89
42,400.55
43,400.19
44,392.69
45,389.84
46,394.74
47,389.92
48,388.21
49,382.57
50,379.38
51,380.66
52,379.72
53,378.29
54,374.19
55,376.98
56,376.85
57,375.54
58,376.39
59,373.49
60,380.62
61,371.16
62,370.93
63,367.91
64,360.52
65,354.57
66,354.46
67,346.68
68,348.4
69,341.17
70,339.51
71,334.84
72,334.11
73,341.61
74,337.31
75,339.27
76,333.4
77,337.54
78,334.64
79,331.21
80,329.71
81,327.68
82,321.61
83,323.64
84,323.43
85,327.21
86,334.91
87,339.71
88,337.61
89,336.19
90,339.56
91,342.66
92,346.73
93,341.65
94,339.36
95,339.26
96,338.96
97,334.1
98,334.01
99,333.69
100,332.13
101,326.97
102,328.42
103,328.0
104,319.92
105,316.34
106,322.89
107,324.68
108,322.01
109,325.02
110,327.64
111,332.56
112,328.6
113,330.2
114,333.14
115,330.0
116,331.93
117,337.73
118,342.74
119,338.48
120,340.98
121,344.08
122,335.95
123,335.83
124,326.14
125,326.88
126,331.3
127,332.65
128,329.76
129,332.85
130,328.63
131,324.41
132,323.39
133,321.37
134,316.24
135,317.65
136,309.93
137,303.98
138,304.76
139,307.78
140,306.63
141,303.33
142,299.59
143,294.21
144,294.23
145,296.1
146,293.12
147,293.44
148,298.16
149,301.94
150,302.87
151,301.52
152,303.15
153,306.57
154,303.81
155,296.61
156,297.22
157,301.57
158,296.75
159,300.43
160,302.3
161,304.68
162,310.04
163,312.43
164,313.36
165,319.94
166,316.94
167,319.18
168,316.88
169,323.13
170,321.09
171,318.22
172,324.94
173,318.92
174,319.77
175,322.76
176,321.29
177,329.0
178,330.94
179,333.36
180,333.99
181,338.28
182,338.66
183,335.72
184,334.58
185,331.0
186,333.07
187,333.3
188,336.85
189,338.2
190,338.8
191,342.62
192,339.98
193,338.18
194,335.69
195,334.1
196,334.15
197,335.92
198,336.79
199,338.92
200,340.37
