trade_id,signal_day
0,33
1,37
2,33
3,50
4,62
5,70
6,67
7,94
8,103
9,100
10,116
11,118
12,141
13,153
14,170
15,154
16,175
17,170
18,174
19,196
20,190
21,239
22,248
23,271
24,258
25,248
26,254
27,275
28,301
29,312
30,316
31,292
32,310
33,323
34,350
35,346
36,343
37,397
38,364
39,390
40,397
41,402
42,388
43,388
44,414
45,441
46,440
47,450
48,475
49,441
50,459
51,464
52,498
53,485
54,500
55,503
56,502
57,531
58,520
59,522
60,530
61,547
62,553
63,550
64,541
65,570
66,565
67,575
68,580
69,597
70,619
71,630
72,635
73,664
74,669
75,655
76,655
77,650
78,653
79,683
80,693
81,680
82,678
83,697
84,708
85,725
86,725
87,740
88,744
89,749
