trade_id,signal_day
0,23
1,32
2,62
3,49
4,50
5,56
6,51
7,83
8,70
9,100
10,90
11,96
12,113
13,120
14,103
15,101
16,115
17,94
18,121
19,136
20,146
21,130
22,158
23,172
24,169
25,160
26,162
27,165
28,169
29,190
30,212
31,194
32,214
33,243
34,249
35,269
36,273
37,275
38,305
39,314
40,298
41,320
42,335
43,325
44,321
45,334
46,366
47,346
48,374
49,391
50,396
51,380
52,403
53,408
54,447
55,442
56,468
57,458
58,490
59,478
60,454
61,478
62,465
63,482
64,466
65,486
66,506
67,491
68,544
69,550
70,549
71,546
72,537
73,556
74,561
75,558
76,567
77,568
78,576
79,608
80,595
81,632
82,602
83,612
84,671
85,728
86,717
87,739
88,737
89,754
