trade_id,signal_day
0,74
1,68
2,98
3,75
4,76
5,92
6,110
7,105
8,99
9,112
10,103
11,152
12,132
13,174
14,170
15,189
16,176
17,202
18,220
19,204
20,217
21,252
22,229
23,254
24,261
25,239
26,248
27,269
28,273
29,266
30,280
31,302
32,310
33,320
34,330
35,340
36,328
37,341
38,352
39,373
40,363
41,365
42,399
43,381
44,390
45,417
46,430
47,411
48,444
49,474
50,460
51,502
52,478
53,486
54,481
55,496
56,513
57,524
58,530
59,518
60,536
61,531
62,557
63,574
64,564
65,602
66,612
67,605
68,602
69,598
70,618
71,606
72,643
73,651
74,625
75,641
76,665
77,678
78,676
79,666
80,685
81,701
82,711
83,709
84,728
85,718
86,738
87,754
88,750
89,753
