trade_id,signal_day
0,57
1,31
2,65
3,83
4,75
5,59
6,81
7,66
8,103
9,86
10,114
11,96
12,120
13,103
14,113
15,113
16,120
17,120
18,149
19,145
20,181
21,181
22,168
23,176
24,203
25,209
26,204
27,200
28,262
29,259
30,273
31,253
32,317
33,300
34,333
35,342
36,354
37,362
38,374
39,366
40,373
41,374
42,366
43,401
44,419
45,451
46,458
47,499
48,507
49,527
50,504
51,521
52,527
53,507
54,516
55,547
56,557
57,548
58,567
59,557
60,589
61,562
62,556
63,593
64,609
65,578
66,603
67,611
68,612
69,622
70,622
71,603
72,614
73,626
74,616
75,618
76,639
77,645
78,651
79,674
80,674
81,683
82,708
83,739
84,752
85,724
86,727
87,748
88,752
89,752
