trade_id,signal_day
0,60
1,50
2,54
3,75
4,56
5,106
6,134
7,123
8,167
9,152
10,183
11,182
12,177
13,189
14,175
15,203
16,204
17,195
18,190
19,204
20,213
21,211
22,235
23,229
24,261
25,268
26,293
27,292
28,277
29,324
30,310
31,330
32,321
33,321
34,326
35,352
36,357
37,373
38,358
39,391
40,386
41,391
42,399
43,442
44,431
45,444
46,416
47,452
48,482
49,481
50,496
51,483
52,525
53,528
54,536
55,525
56,537
57,563
58,547
59,561
60,581
61,559
62,589
63,593
64,585
65,629
66,652
67,651
68,668
69,643
70,657
71,680
72,647
73,673
74,686
75,697
76,697
77,679
78,689
79,711
80,693
81,693
82,717
83,750
84,737
85,745
86,751
87,753
88,752
89,754
