trade_id,signal_day
0,70
1,97
2,80
3,96
4,91
5,114
6,92
7,114
8,133
9,129
10,133
11,144
12,185
13,191
14,204
15,175
16,201
17,217
18,224
19,207
20,236
21,291
22,291
23,299
24,289
25,313
26,290
27,289
28,297
29,313
30,294
31,315
32,325
33,356
34,357
35,353
36,356
37,381
38,386
39,394
40,408
41,412
42,395
43,428
44,406
45,415
46,447
47,466
48,479
49,477
50,468
51,456
52,483
53,498
54,480
55,490
56,503
57,506
58,511
59,499
60,520
61,535
62,540
63,546
64,540
65,551
66,557
67,584
68,581
69,587
70,593
71,604
72,607
73,614
74,617
75,631
76,646
77,681
78,652
79,671
80,679
81,681
82,682
83,704
84,710
85,741
86,730
87,746
88,743
89,753
