trade_id,signal_day
0,37
1,66
2,47
3,80
4,100
5,97
6,94
7,122
8,135
9,136
10,117
11,154
12,182
13,184
14,193
15,205
16,186
17,221
18,218
19,234
20,226
21,263
22,236
23,258
24,264
25,277
26,261
27,286
28,308
29,317
30,299
31,322
32,352
33,390
34,402
35,409
36,382
37,403
38,398
39,408
40,412
41,452
42,477
43,469
44,487
45,479
46,477
47,461
48,483
49,475
50,516
51,518
52,514
53,533
54,504
55,539
56,526
57,562
58,551
59,544
60,546
61,560
62,572
63,567
64,589
65,589
66,591
67,618
68,611
69,599
70,641
71,622
72,642
73,636
74,654
75,671
76,677
77,657
78,674
79,695
80,726
81,723
82,722
83,747
84,737
85,747
86,751
87,754
88,749
89,753
