trade_id,day,leg,bid,ask
0,3,short,8.851,8.94
0,3,long,6.517,6.617
0,4,short,8.612,8.701
0,4,long,6.517,6.617
0,5,short,8.677,8.766
0,5,long,6.517,6.617
0,6,short,8.675,8.764
0,6,long,6.517,6.617
0,7,short,8.685,8.774
0,7,long,6.517,6.617
0,8,short,8.832,8.921
0,8,long,6.517,6.617
0,9,short,8.693,8.783
0,9,long,6.517,6.617
0,10,short,8.774,8.863
0,10,long,6.517,6.617
0,11,short,8.863,8.952
0,11,long,6.517,6.617
0,12,short,8.895,8.984
0,12,long,6.517,6.617
0,13,short,9.061,9.151
0,13,long,6.517,6.617
0,16,short,9.198,9.287
0,16,long,6.517,6.617
0,17,short,9.394,9.483
0,17,long,6.517,6.617
0,18,short,9.401,9.49
0,18,long,6.517,6.617
0,19,short,9.299,9.388
0,19,long,6.517,6.617
0,20,short,8.986,9.075
0,20,long,6.517,6.617
0,21,short,9.148,9.237
0,21,long,6.517,6.617
0,22,short,9.119,9.208
0,22,long,6.517,6.617
0,23,short,9.218,9.307
0,23,long,6.517,6.617
0,24,short,9.311,9.4
0,24,long,6.517,6.617
0,26,short,9.212,9.301
0,26,long,6.517,6.617
0,27,short,9.282,9.371
0,27,long,6.517,6.617
0,28,short,9.176,9.265
0,28,long,6.517,6.617
0,29,short,9.198,9.287
0,30,short,9.23,9.319
0,30,long,6.517,6.617
0,31,short,8.955,9.044
0,31,long,6.517,6.617
0,32,short,8.84,8.93
0,32,long,6.517,6.617
0,33,short,8.909,8.998
0,33,long,6.517,6.617
0,34,short,8.964,9.053
0,34,long,6.517,6.617
0,35,short,8.915,9.004
0,35,long,6.517,6.617
0,36,short,8.867,8.956
0,36,long,6.517,6.617
0,37,short,8.845,8.934
0,37,long,6.517,6.617
0,38,short,8.812,8.901
0,38,long,6.517,6.617
0,39,short,8.712,8.801
0,39,long,6.517,6.617
0,40,short,8.848,8.937
0,40,long,6.517,6.617
0,41,short,8.912,9.001
0,41,long,6.517,6.617
0,42,short,8.773,8.862
0,42,long,6.517,6.617
0,43,short,8.795,8.884
0,43,long,6.517,6.617
0,44,short,8.857,8.946
0,44,long,6.517,6.617
0,45,short,8.881,8.97
0,45,long,6.517,6.617
