trade_id,signal_day
0,76
1,88
2,75
3,75
4,75
5,90
6,119
7,98
8,125
9,126
10,109
11,115
12,107
13,119
14,145
15,179
16,162
17,177
18,193
19,187
20,182
21,200
22,210
23,198
24,198
25,210
26,224
27,255
28,286
29,293
30,307
31,323
32,326
33,323
34,329
35,340
36,345
37,364
38,385
39,400
40,409
41,423
42,393
43,402
44,433
45,448
46,446
47,466
48,479
49,485
50,507
51,492
52,519
53,531
54,531
55,540
56,520
57,534
58,568
59,588
60,581
61,587
62,616
63,614
64,602
65,629
66,632
67,617
68,646
69,628
70,665
71,673
72,670
73,680
74,662
75,689
76,690
77,698
78,706
79,684
80,712
81,693
82,735
83,708
84,726
85,722
86,743
87,745
88,751
89,754
