trade_id,signal_day
0,58
1,58
2,65
3,64
4,57
5,48
6,70
7,88
8,115
9,115
10,121
11,126
12,127
13,154
14,162
15,176
16,174
17,172
18,160
19,186
20,183
21,197
22,207
23,199
24,236
25,254
26,256
27,268
28,266
29,296
30,298
31,298
32,310
33,362
34,339
35,358
36,380
37,364
38,401
39,384
40,406
41,420
42,418
43,401
44,439
45,432
46,444
47,451
48,469
49,449
50,483
51,463
52,484
53,493
54,510
55,500
56,493
57,499
58,514
59,523
60,539
61,526
62,548
63,548
64,554
65,545
66,548
67,597
68,568
69,607
70,597
71,609
72,637
73,637
74,613
75,631
76,621
77,650
78,625
79,654
80,688
81,688
82,662
83,707
84,689
85,711
86,711
87,742
88,730
89,753
