trade_id,signal_day
0,33
1,62
2,72
3,79
4,84
5,103
6,79
7,87
8,106
9,94
10,86
11,125
12,118
13,117
14,122
15,156
16,146
17,159
18,192
19,199
20,208
21,198
22,211
23,252
24,295
25,300
26,296
27,319
28,326
29,309
30,345
31,340
32,320
33,361
34,402
35,395
36,428
37,422
38,425
39,433
40,415
41,426
42,434
43,447
44,447
45,475
46,497
47,481
48,478
49,509
50,498
51,501
52,514
53,499
54,497
55,505
56,519
57,556
58,559
59,575
60,560
61,573
62,615
63,601
64,631
65,630
66,650
67,620
68,646
69,649
70,670
71,652
72,681
73,653
74,667
75,668
76,677
77,694
78,726
79,704
80,702
81,715
82,724
83,723
84,747
85,733
86,744
87,745
88,754
89,753
