trade_id,signal_day
0,49
1,38
2,60
3,50
4,80
5,86
6,97
7,90
8,109
9,110
10,128
11,148
12,147
13,181
14,166
15,190
16,189
17,222
18,248
19,261
20,254
21,237
22,285
23,286
24,284
25,277
26,319
27,297
28,336
29,342
30,340
31,358
32,351
33,351
34,355
35,363
36,379
37,390
38,391
39,403
40,400
41,403
42,405
43,397
44,398
45,429
46,435
47,416
48,429
49,465
50,470
51,467
52,452
53,494
54,483
55,506
56,500
57,510
58,498
59,503
60,516
61,530
62,549
63,528
64,563
65,540
66,556
67,555
68,567
69,578
70,589
71,591
72,615
73,619
74,597
75,611
76,662
77,670
78,677
79,643
80,681
81,664
82,675
83,698
84,706
85,752
86,743
87,740
88,753
89,743
