trade_id,signal_day
0,35
1,55
2,45
3,57
4,62
5,58
6,65
7,116
8,113
9,104
10,118
11,140
12,126
13,144
14,166
15,174
16,185
17,188
18,189
19,193
20,192
21,201
22,222
23,222
24,221
25,220
26,223
27,264
28,236
29,248
30,278
31,256
32,255
33,293
34,329
35,310
36,317
37,323
38,359
39,341
40,362
41,363
42,351
43,354
44,378
45,363
46,375
47,397
48,389
49,422
50,395
51,398
52,404
53,419
54,413
55,440
56,415
57,431
58,433
59,426
60,443
61,426
62,449
63,482
64,456
65,508
66,493
67,491
68,494
69,527
70,503
71,549
72,577
73,558
74,618
75,626
76,616
77,638
78,652
79,643
80,651
81,654
82,652
83,684
84,680
85,683
86,690
87,704
88,710
89,744
