trade_id,signal_day
0,41
1,47
2,56
3,56
4,94
5,120
6,92
7,135
8,136
9,122
10,157
11,162
12,164
13,154
14,188
15,179
16,181
17,202
18,212
19,221
20,205
21,205
22,256
23,250
24,254
25,275
26,264
27,272
28,296
29,272
30,274
31,296
32,282
33,282
34,317
35,328
36,322
37,326
38,339
39,360
40,363
41,373
42,403
43,406
44,391
45,419
46,437
47,414
48,412
49,434
50,450
51,487
52,500
53,486
54,494
55,498
56,521
57,528
58,519
59,527
60,583
61,582
62,591
63,619
64,618
65,611
66,616
67,628
68,621
69,633
70,631
71,633
72,656
73,643
74,651
75,680
76,655
77,655
78,667
79,682
80,697
81,727
82,709
83,729
84,730
85,743
86,730
87,751
88,746
89,749
