trade_id,signal_day
0,30
1,52
2,52
3,47
4,69
5,79
6,64
7,68
8,65
9,68
10,112
11,107
12,125
13,150
14,140
15,171
16,200
17,179
18,219
19,242
20,223
21,260
22,270
23,259
24,287
25,275
26,280
27,317
28,308
29,337
30,347
31,358
32,346
33,351
34,352
35,344
36,345
37,382
38,368
39,371
40,382
41,402
42,414
43,426
44,434
45,458
46,455
47,458
48,444
49,448
50,480
51,452
52,480
53,489
54,477
55,503
56,506
57,524
58,519
59,539
60,558
61,550
62,546
63,583
64,571
65,561
66,583
67,570
68,578
69,593
70,587
71,587
72,586
73,584
74,589
75,599
76,633
77,625
78,636
79,657
80,659
81,641
82,652
83,663
84,661
85,736
86,748
87,728
88,752
89,740
