trade_id,signal_day
0,45
1,31
2,58
3,59
4,86
5,104
6,85
7,122
8,161
9,150
10,169
11,179
12,187
13,165
14,197
15,206
16,230
17,239
18,260
19,232
20,271
21,314
22,327
23,307
24,321
25,344
26,350
27,355
28,360
29,373
30,387
31,397
32,409
33,407
34,411
35,431
36,425
37,430
38,451
39,482
40,499
41,501
42,481
43,501
44,503
45,506
46,499
47,502
48,515
49,536
50,526
51,551
52,533
53,533
54,565
55,547
56,547
57,553
58,573
59,576
60,559
61,550
62,580
63,587
64,633
65,633
66,609
67,641
68,644
69,672
70,656
71,652
72,681
73,651
74,674
75,688
76,698
77,721
78,719
79,726
80,723
81,734
82,753
83,747
84,728
85,738
86,738
87,752
88,754
89,752
