trade_id,signal_day
0,36
1,46
2,52
3,59
4,91
5,93
6,110
7,138
8,127
9,117
10,154
11,134
12,139
13,165
14,173
15,159
16,160
17,178
18,187
19,239
20,223
21,222
22,237
23,241
24,260
25,266
26,312
27,311
28,322
29,348
30,359
31,345
32,366
33,368
34,390
35,379
36,407
37,417
38,428
39,396
40,416
41,408
42,434
43,426
44,453
45,459
46,444
47,477
48,493
49,497
50,479
51,492
52,490
53,499
54,512
55,530
56,527
57,543
58,553
59,538
60,539
61,576
62,560
63,586
64,596
65,598
66,611
67,594
68,624
69,624
70,647
71,654
72,665
73,659
74,661
75,677
76,683
77,673
78,691
79,680
80,685
81,707
82,719
83,733
84,718
85,713
86,741
87,753
88,749
89,748
