trade_id,signal_day
0,38
1,63
2,53
3,74
4,65
5,89
6,104
7,109
8,89
9,99
10,128
11,134
12,126
13,134
14,168
15,185
16,216
17,195
18,213
19,236
20,251
21,223
22,259
23,256
24,280
25,271
26,298
27,301
28,292
29,289
30,310
31,303
32,318
33,335
34,319
35,327
36,381
37,349
38,377
39,374
40,366
41,379
42,384
43,410
44,399
45,402
46,425
47,430
48,408
49,425
50,434
51,431
52,447
53,469
54,483
55,499
56,501
57,513
58,497
59,544
60,560
61,570
62,568
63,559
64,545
65,573
66,563
67,567
68,591
69,570
70,593
71,599
72,624
73,630
74,630
75,623
76,659
77,639
78,696
79,691
80,701
81,684
82,700
83,742
84,749
85,736
86,733
87,745
88,739
89,754
