trade_id,signal_day
0,51
1,48
2,73
3,72
4,74
5,79
6,82
7,48
8,54
9,92
10,72
11,108
12,119
13,105
14,112
15,129
16,114
17,138
18,126
19,139
20,160
21,132
22,141
23,178
24,167
25,224
26,207
27,234
28,232
29,235
30,237
31,251
32,259
33,246
34,252
35,282
36,263
37,292
38,292
39,299
40,294
41,344
42,351
43,323
44,340
45,366
46,383
47,389
48,390
49,421
50,426
51,419
52,444
53,452
54,450
55,468
56,457
57,466
58,464
59,461
60,476
61,499
62,508
63,521
64,518
65,595
66,588
67,597
68,599
69,617
70,609
71,635
72,667
73,656
74,718
75,714
76,722
77,698
78,712
79,716
80,711
81,731
82,742
83,744
84,727
85,748
86,742
87,748
88,754
89,754
