trade_id,signal_day
0,34
1,50
2,44
3,101
4,89
5,108
6,111
7,133
8,118
9,147
10,127
11,136
12,166
13,139
14,158
15,184
16,184
17,195
18,204
19,207
20,206
21,218
22,229
23,238
24,250
25,253
26,265
27,247
28,271
29,257
30,256
31,270
32,299
33,293
34,298
35,299
36,363
37,345
38,365
39,371
40,354
41,380
42,371
43,357
44,405
45,379
46,406
47,423
48,408
49,431
50,436
51,433
52,480
53,487
54,464
55,491
56,495
57,492
58,527
59,498
60,511
61,510
62,521
63,524
64,582
65,551
66,585
67,599
68,583
69,589
70,609
71,604
72,630
73,616
74,649
75,622
76,617
77,628
78,653
79,688
80,713
81,716
82,713
83,726
84,734
85,709
86,743
87,743
88,746
89,754
