trade_id,signal_day
0,50
1,37
2,69
3,119
4,131
5,144
6,147
7,173
8,155
9,202
10,181
11,187
12,199
13,213
14,210
15,212
16,241
17,223
18,225
19,224
20,247
21,231
22,247
23,242
24,251
25,251
26,257
27,289
28,298
29,301
30,304
31,300
32,313
33,318
34,352
35,331
36,341
37,358
38,385
39,381
40,376
41,404
42,415
43,436
44,435
45,437
46,476
47,469
48,449
49,461
50,486
51,469
52,480
53,505
54,488
55,511
56,512
57,519
58,526
59,539
60,557
61,560
62,543
63,603
64,614
65,600
66,631
67,629
68,650
69,629
70,646
71,636
72,630
73,658
74,674
75,705
76,687
77,709
78,691
79,715
80,698
81,704
82,700
83,696
84,704
85,717
86,719
87,721
88,736
89,747
