trade_id,signal_day
0,60
1,24
2,57
3,82
4,65
5,99
6,134
7,123
8,105
9,125
10,118
11,151
12,155
13,136
14,136
15,144
16,151
17,153
18,169
19,173
20,163
21,186
22,209
23,183
24,232
25,232
26,255
27,250
28,242
29,242
30,266
31,262
32,261
33,287
34,304
35,294
36,298
37,326
38,342
39,325
40,371
41,362
42,356
43,375
44,363
45,388
46,422
47,423
48,423
49,417
50,432
51,463
52,445
53,446
54,481
55,495
56,498
57,521
58,519
59,518
60,531
61,527
62,557
63,551
64,559
65,581
66,584
67,586
68,600
69,603
70,621
71,623
72,643
73,641
74,637
75,621
76,656
77,655
78,665
79,665
80,693
81,718
82,701
83,724
84,735
85,752
86,740
87,750
88,746
89,753
