trade_id,signal_day
0,64
1,41
2,70
3,60
4,71
5,93
6,97
7,87
8,93
9,105
10,125
11,157
12,177
13,173
14,187
15,203
16,208
17,222
18,221
19,205
20,215
21,212
22,227
23,206
24,246
25,235
26,247
27,253
28,263
29,258
30,292
31,293
32,304
33,347
34,340
35,348
36,367
37,396
38,391
39,431
40,441
41,454
42,436
43,460
44,453
45,462
46,448
47,455
48,485
49,478
50,503
51,491
52,477
53,499
54,494
55,504
56,533
57,546
58,540
59,527
60,545
61,553
62,531
63,556
64,593
65,594
66,609
67,587
68,591
69,595
70,605
71,609
72,619
73,632
74,635
75,638
76,650
77,678
78,674
79,689
80,684
81,686
82,677
83,702
84,714
85,728
86,716
87,726
88,728
89,747
