trade_id,signal_day
0,57
1,36
2,48
3,71
4,99
5,84
6,119
7,83
8,109
9,130
10,147
11,159
12,170
13,184
14,184
15,188
16,214
17,220
18,241
19,214
20,245
21,226
22,255
23,257
24,249
25,258
26,273
27,305
28,307
29,340
30,358
31,354
32,373
33,368
34,362
35,377
36,394
37,419
38,396
39,422
40,438
41,462
42,466
43,466
44,453
45,493
46,479
47,493
48,515
49,511
50,518
51,505
52,546
53,534
54,545
55,550
56,555
57,562
58,564
59,543
60,584
61,577
62,585
63,593
64,613
65,607
66,605
67,600
68,608
69,643
70,621
71,652
72,630
73,645
74,638
75,673
76,675
77,659
78,664
79,677
80,678
81,704
82,695
83,725
84,723
85,717
86,737
87,718
88,736
89,747
