trade_id,signal_day
0,43
1,71
2,66
3,117
4,88
5,113
6,137
7,127
8,111
9,127
10,148
11,157
12,172
13,178
14,187
15,189
16,193
17,197
18,196
19,213
20,205
21,231
22,207
23,263
24,269
25,261
26,278
27,297
28,314
29,304
30,315
31,327
32,297
33,336
34,327
35,352
36,337
37,333
38,361
39,391
40,380
41,384
42,429
43,405
44,426
45,430
46,423
47,452
48,435
49,457
50,490
51,514
52,493
53,530
54,527
55,546
56,515
57,529
58,531
59,540
60,560
61,569
62,590
63,596
64,597
65,583
66,608
67,618
68,629
69,630
70,630
71,651
72,643
73,681
74,669
75,708
76,674
77,696
78,699
79,719
80,733
81,706
82,728
83,723
84,749
85,743
86,739
87,754
88,753
89,752
