trade_id,signal_day
0,57
1,46
2,77
3,87
4,81
5,114
6,125
7,104
8,121
9,126
10,137
11,156
12,138
13,147
14,143
15,167
16,171
17,167
18,207
19,183
20,210
21,218
22,206
23,216
24,247
25,274
26,278
27,274
28,291
29,287
30,302
31,305
32,295
33,321
34,314
35,350
36,357
37,346
38,355
39,357
40,361
41,379
42,386
43,381
44,376
45,377
46,404
47,410
48,420
49,426
50,442
51,452
52,459
53,428
54,475
55,490
56,483
57,501
58,521
59,547
60,537
61,547
62,569
63,574
64,553
65,573
66,570
67,567
68,557
69,582
70,585
71,601
72,597
73,633
74,642
75,660
76,676
77,659
78,693
79,685
80,687
81,692
82,698
83,702
84,704
85,727
86,736
87,740
88,745
89,740
