trade_id,signal_day
0,35
1,61
2,67
3,49
4,68
5,82
6,109
7,93
8,98
9,87
10,104
11,133
12,115
13,131
14,149
15,127
16,153
17,175
18,166
19,187
20,203
21,202
22,200
23,203
24,210
25,247
26,236
27,237
28,243
29,248
30,252
31,266
32,264
33,291
34,319
35,335
36,341
37,339
38,336
39,388
40,369
41,393
42,394
43,411
44,398
45,444
46,448
47,452
48,450
49,459
50,460
51,471
52,454
53,477
54,488
55,460
56,489
57,498
58,507
59,504
60,534
61,520
62,546
63,567
64,561
65,576
66,608
67,587
68,588
69,630
70,604
71,619
72,625
73,637
74,651
75,643
76,647
77,662
78,679
79,689
80,709
81,728
82,731
83,746
84,731
85,739
86,743
87,748
88,749
89,754
