trade_id,day,leg,bid,ask
0,1,short,6.179,6.257
0,1,long,4.239,4.329
0,3,short,6.272,6.351
0,3,long,4.239,4.329
0,4,short,6.313,6.392
0,4,long,4.239,4.329
0,5,short,6.19,6.269
0,5,long,4.239,4.329
0,6,short,6.312,6.391
0,6,long,4.239,4.329
0,7,short,6.273,6.352
0,7,long,4.239,4.329
0,8,short,6.327,6.406
0,8,long,4.239,4.329
0,9,short,6.399,6.477
0,9,long,4.239,4.329
0,10,short,6.333,6.412
0,10,long,4.239,4.329
0,12,short,6.462,6.541
0,12,long,4.239,4.329
0,13,short,6.445,6.523
0,13,long,4.239,4.329
0,14,short,6.458,6.537
0,14,long,4.239,4.329
0,16,short,6.633,6.712
0,16,long,4.239,4.329
0,17,short,6.575,6.654
0,17,long,4.239,4.329
0,18,short,6.264,6.342
0,18,long,4.239,4.329
0,19,short,6.357,6.435
0,19,long,4.239,4.329
0,20,short,6.479,6.558
0,20,long,4.239,4.329
0,21,short,6.614,6.692
0,21,long,4.239,4.329
0,22,short,6.62,6.698
0,22,long,4.239,4.329
0,23,short,6.408,6.487
0,23,long,4.239,4.329
0,24,short,6.526,6.605
0,24,long,4.239,4.329
0,25,short,6.52,6.599
0,26,short,6.591,6.67
0,26,long,4.239,4.329
0,27,short,6.426,6.504
0,27,long,4.239,4.329
0,28,short,6.407,6.485
0,28,long,4.239,4.329
0,29,short,6.423,6.501
0,29,long,4.239,4.329
0,30,short,6.359,6.438
0,30,long,4.239,4.329
0,31,short,6.59,6.668
0,31,long,4.239,4.329
0,32,short,6.491,6.569
0,32,long,4.239,4.329
0,33,short,6.58,6.659
0,33,long,4.239,4.329
0,34,short,6.385,6.464
0,34,long,4.239,4.329
0,35,short,6.41,6.489
0,35,long,4.239,4.329
0,36,short,6.61,6.689
0,36,long,4.239,4.329
0,37,short,6.402,6.481
0,37,long,4.239,4.329
0,38,short,6.356,6.435
0,38,long,4.239,4.329
0,39,short,6.31,6.389
0,39,long,4.239,4.329
0,40,short,6.346,6.424
0,40,long,4.239,4.329
0,41,short,6.497,6.575
0,41,long,4.239,4.329
0,42,short,6.391,6.47
0,42,long,4.239,4.329
0,43,short,6.333,6.412
0,43,long,4.239,4.329
0,44,short,6.183,6.262
0,44,long,4.239,4.329
0,45,short,5.859,5.938
0,45,long,4.239,4.329
0,46,short,5.752,5.831
0,46,long,4.239,4.329
0,48,short,5.579,5.658
0,48,long,4.239,4.329
0,49,short,5.807,5.886
0,49,long,4.239,4.329
0,50,short,5.634,5.713
0,50,long,4.239,4.329
0,51,short,5.651,5.729
0,51,long,4.239,4.329
0,52,short,5.794,5.873
0,52,long,4.239,4.329
0,53,short,5.918,5.997
