trade_id,signal_day
0,39
1,39
2,46
3,67
4,70
5,40
6,64
7,87
8,65
9,86
10,93
11,75
12,112
13,100
14,105
15,127
16,147
17,148
18,155
19,152
20,185
21,175
22,172
23,197
24,193
25,192
26,221
27,247
28,253
29,237
30,275
31,255
32,289
33,291
34,329
35,310
36,305
37,325
38,352
39,361
40,354
41,373
42,349
43,366
44,369
45,386
46,400
47,406
48,401
49,394
50,414
51,397
52,419
53,447
54,426
55,427
56,423
57,460
58,453
59,465
60,466
61,474
62,498
63,485
64,499
65,525
66,531
67,513
68,551
69,553
70,545
71,571
72,540
73,555
74,571
75,595
76,608
77,638
78,623
79,617
80,621
81,644
82,657
83,680
84,711
85,724
86,728
87,740
88,732
89,749
