trade_id,signal_day
0,55
1,95
2,69
3,84
4,97
5,108
6,99
7,131
8,148
9,136
10,151
11,144
12,172
13,178
14,168
15,195
16,192
17,194
18,197
19,190
20,215
21,215
22,285
23,277
24,292
25,287
26,277
27,292
28,303
29,302
30,339
31,312
32,315
33,339
34,341
35,363
36,359
37,349
38,344
39,387
40,376
41,394
42,365
43,393
44,403
45,412
46,413
47,430
48,425
49,442
50,446
51,462
52,456
53,462
54,506
55,518
56,505
57,513
58,522
59,550
60,546
61,565
62,584
63,599
64,575
65,586
66,634
67,623
68,611
69,629
70,632
71,639
72,652
73,649
74,676
75,658
76,668
77,675
78,693
79,688
80,682
81,685
82,707
83,715
84,713
85,721
86,724
87,745
88,735
89,740
